sample,Astrocyte,Fibroblast,Macrophage,Microglia,Neuron,Oligodendrocyte,Oligodendrocyte progenitor cell,Pericyte,Vascular endothelial cell
GSM4227433,230.0,5.0,133.0,377.0,381.0,95.0,94.0,29.0,258.0
GSM4227434,456.0,3.0,33.0,425.0,44.0,80.0,69.0,62.0,290.0
GSM4227435,279.0,3.0,23.0,481.0,36.0,76.0,116.0,32.0,237.0
GSM4227436,125.0,1.0,30.0,212.0,51.0,69.0,57.0,17.0,140.0
GSM4227437,293.0,5.0,30.0,366.0,298.0,175.0,85.0,42.0,408.0
GSM4227438,91.0,2.0,6.0,356.0,3.0,20.0,13.0,26.0,130.0
GSM4227439,164.0,2.0,25.0,609.0,25.0,138.0,117.0,27.0,187.0
GSM4227440,208.0,5.0,77.0,251.0,138.0,46.0,69.0,19.0,135.0
GSM4227441,342.0,14.0,579.0,788.0,218.0,131.0,105.0,46.0,368.0
GSM4227442,42.0,0.0,41.0,233.0,8.0,22.0,32.0,0.0,52.0
GSM4227443,122.0,2.0,97.0,316.0,181.0,53.0,86.0,17.0,191.0
all,2352.0,42.0,1074.0,4414.0,1383.0,905.0,843.0,317.0,2396.0
